symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,lired_daily,lired_days,latest_day_lired_value,lired_weekly,lired_weeks,latest_week_lired_value,has_day_blue,has_week_blue,has_day_lired,has_week_lired,has_day_week_blue,has_day_week_lired,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,latest_cci_daily,latest_cci_weekly
002304.SZ,洋河股份,63.91,84569.6,540.4843136,152.51814460629578,3,152.51814460629578,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,1,0,1,1,True,True,-128.46332046332148,-167.49727326117977
002311.SZ,海大集团,54.52,136681.31,745.18650212,153.48809408512562,4,153.48809408512562,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,1,1,True,True,-125.15121207791604,-133.20474632550415
002361.SZ,神剑股份,6.81,1133667.13,772.0273155299999,0.0,3,200.0,0.0,0,0.0,-0.04117639784530602,0,0,0.0,0,0,True,False,False,False,False,False,0,0,2,0,True,False,86.04316546762568,125.20618556700954
002352.SZ,顺丰控股,37.91,319632.01,1211.72494991,120.90213525664241,3,120.90213525664241,200.0,3,200.0,0.0,0,0,0.0,0,0,True,True,False,False,True,False,1,0,1,1,True,True,-147.95293162913308,-200.20266267577085
002385.SZ,大北农,4.06,472039.61,191.64808165999997,0.0,4,169.18053395238206,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,1,1,True,True,-60.10256410256511,-97.15846994535576
002421.SZ,达实智能,2.98,351174.73,104.65006953999999,0.0,0,0.0,0.0,2,168.74197739889667,0.0,0,0,0.0,0,0,False,True,False,False,False,False,0,0,0,1,False,True,11.990407673860894,-93.7856758212171
002469.SZ,三维化学,8.43,118729.34,100.08883361999999,0.0,3,169.86285295817993,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,0,1,False,True,-37.23689246077307,-96.03408718452998
002459.SZ,晶澳科技,11.78,445993.95,525.3808730999999,111.22474637971686,4,111.22474637971686,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,1,0,0,1,True,True,-77.58215962441317,-146.63712669764763
002488.SZ,金固股份,8.49,285227.49,242.15813900999999,154.09875865963812,4,154.09875865963812,200.0,4,200.0,0.0,0,0,0.0,0,0,True,True,False,False,True,False,1,0,1,1,True,True,-119.5244627343392,-110.72266770975935
002617.SZ,露笑科技,8.02,372378.09,298.64722818,0.0,3,141.3986696810206,0.0,0,0.0,0.0,0,0,0.0,0,0,True,False,False,False,False,False,0,0,2,1,True,True,-52.70063147569126,-117.84446595676046
