symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,lired_daily,lired_days,latest_day_lired_value,lired_weekly,lired_weeks,latest_week_lired_value,has_day_blue,has_week_blue,has_day_lired,has_week_lired,has_day_week_blue,has_day_week_lired,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,latest_cci_daily,latest_cci_weekly
002593.SZ,日上集团,6.08,657273.0,399.621984,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,-200.0,False,False,False,True,False,False,0,0,0,0,False,False,-20.91139240506313,88.80208333333331
002585.SZ,双星新材,6.5,984504.09,639.9276585,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,-200.0,2,-200.0,False,False,False,True,False,False,0,0,0,0,False,False,24.201656359625286,215.0476391379247
002607.SZ,中公教育,2.57,2167720.51,557.1041710699999,0.0,1,104.00505409656778,0.0,2,151.18237261540895,0.0,0,0.0,0.0,0,0.0,False,True,False,False,False,False,1,0,1,1,True,True,29.485179407176386,-110.90342679127704
002614.SZ,奥佳华,7.25,362813.11,263.03950475,0.0,0,0.0,0.0,0,0.0,0.0,3,-134.9114159123488,-177.21609047088657,3,-177.21609047088657,False,False,True,True,False,True,0,0,0,0,False,False,-92.75897435897447,110.4217892944959
002632.SZ,道明光学,13.03,975218.23,1270.70935369,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,-200.0,False,False,False,True,False,False,0,0,0,0,False,False,-17.810992992832944,166.3100137174212
002637.SZ,赞宇科技,10.1,103136.62,104.1679862,141.62035009526136,4,141.62035009526136,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,False,False,0,0,1,1,True,True,-238.7479762547217,-112.4290220820186
002638.SZ,勤上股份,3.08,590086.63,181.74668204,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,-200.0,False,False,False,True,False,False,0,0,0,0,False,False,-81.88736681887355,90.43927648578831
002639.SZ,雪人集团,18.16,1851376.13,3362.09905208,0.0,0,0.0,0.0,0,0.0,-99.55655140441186,0,0.0,-176.76185201134814,3,-176.76185201134814,False,False,False,True,False,False,0,0,0,0,False,False,197.3255197028891,147.8723044111175
002646.SZ,天佑德酒,9.0,145131.92,130.618728,200.0,4,200.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,False,False,2,0,1,1,True,True,-114.16234887737494,-226.7651888341541
002648.SZ,卫星化学,16.43,275576.56,452.77228807999995,177.84235094833508,4,177.84235094833508,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,True,False,False,False,False,False,0,0,1,1,True,True,-163.08439587128072,-119.27956147220058
