symbol,company_name,signals,price,volume,turnover,pink_daily,blue_daily,pink_weekly,blue_weekly,lired_daily,lired_weekly,DIF,DEA,MACD,EMAMACD,V1,V2,V3,V4
FLNC,"Fluence Energy, Inc. Class A Common Stock","日BLUE>150(3天), , 周BLUE>150(3周)",3.53,1525120.0,5383673.6,1.0742674980270104,200.0,1.137420904011429,164.37182838970384,0,0,-0.8326373899428159,-0.8841062530416395,0.10293772619764718,0.1593429154388414,0.03468317073170732,-0.015035213720332556,-0.015200835522271618,1.8218398213296767e-05
FORH,Formidable ETF,"周BLUE>150(2周), 黄金柱(1次), 倍量柱(2次)",20.52,3000.0,61560.0,49.31715651931572,0.0,28.590500306131595,0.0,0,0,-0.2249660924009298,-0.252636397889686,0.05534061097751242,-0.07823282132720087,0.2001951219512195,-0.0028563243758939483,-0.004037629479532444,0.00012994356140023455
FOR,Forestar Group Inc.,"日PINK上穿10, 周BLUE>150(2周)",18.2125,144576.0,2633090.4,5.6965993014801874,168.9821691205838,3.0280326270909628,165.10127033157485,0,0,-1.1354390452706156,-0.8424514263749932,-0.5859752377912448,-0.4848839649427362,0.17856975609756098,-0.018927808620213094,-0.016874609509321358,-0.0002258519021980909
FSCC,Federated Hermes MDT Small Cap Core ETF,"日BLUE>150(5天), , 周BLUE>150(2周)",21.7962,668.0,14559.8616,27.135669990658755,0.0,,0.0,0,0,-0.9635639263884634,-0.9488775396486654,-0.029372773479596104,-0.23873769533266842,0.21315195121951216,-0.01446013401868712,-0.016261767170253294,0.00019817964667227905
FSST,Fidelity Sustainable U.S. Equity ETF,"周BLUE>150(2周), 倍量柱(2次)",22.9787,618.0,14200.8366,32.381835294958094,0.0,17.54975341386967,0.0,0,0,-0.707796804203376,-0.7959999952402415,0.17640638207373094,0.019360955337732993,0.22455487804878052,-0.010562407402948448,-0.012115615360943407,0.00017085287537944545
FTIF,First Trust Bloomberg Inflation Sensitive Equity ETF,"日BLUE>150(4天), , 周BLUE>150(5周), 倍量柱(1次)",19.08,1000.0,19080.0,36.98796732177763,0.0,20.214616265575508,0.0,0,0,-0.735890137702409,-0.727793231158415,-0.01619381308798795,-0.2662837967399746,0.18565853658536582,-0.010653753522380238,-0.012441944631531386,0.00019670102200662628
FUSI,American Century Multisector Floating Income ETF,"日BLUE>150(3天), 周PINK上穿10, , 倍量柱(3次)",50.28,776.0,39017.28,14.120370703037201,0.0,9.603561827900563,0.0,0,0,-0.13481637237730837,-0.1055954064395417,-0.05844193187553334,-0.0813086062063635,0.4905368292682926,-0.002005929242839044,-0.002047586399760529,4.582287261363349e-06
GAEM,Simplify Gamma Emerging Market Bond ETF,"周BLUE>150(2周), 倍量柱(1次)",24.8667,55.0,1367.6685,34.97840449211556,0.0,,0.0,0,0,-0.24285471715656115,-0.23521684029189274,-0.015275753729336816,-0.12619550459246803,0.24260195121951222,-0.00324826710920631,-0.004054987452516809,8.873923776415493e-05
GAINZ,Gladstone Investment Corporation 4.875% Notes due 2028,"日BLUE>150(4天), 周PINK上穿10, , 倍量柱(1次)",22.39,886.0,19837.54,11.027432022537926,0.0,8.295217477615639,102.75438460905211,0,0,-0.3197973505514824,-0.18898817847534377,-0.26161834415227725,-0.26274897788789414,0.2184146341463415,-0.0051453903863648565,-0.004567263788490352,-6.359392576619546e-05
GCAL,Goldman Sachs Dynamic California Municipal Income ETF,"日BLUE>150(3天), , 周BLUE>150(3周), 倍量柱(1次)",49.0552,2.0,98.1104,42.415941088680995,0.0,39.386430678466084,0.0,0,0,-0.5241393709767337,-0.40809111350257155,-0.23209651494832428,-0.33947941911630375,0.4785873170731707,-0.007960199244736343,-0.00836202310211323,4.42006243114576e-05
