symbol,price,volume,turnover,signals,smile_long_daily,smile_short_daily,blue_days,smile_long_weekly,smile_short_weekly,blue_weeks,gold_vol_count,double_vol_count,pink_daily,blue_daily,max_blue_daily,pink_weekly,blue_weekly,max_blue_weekly,vol_times,vol_color,DIF,DEA,MACD,EMAMACD,V1,V2,V3,V4,补血,失血,零轴下金叉,零轴上金叉,零轴上死叉,零轴下死叉,先机信号,底背离,顶背离,next_week_close,next_week_high,next_week_low,price_change_pct,max_gain_pct,max_drawdown_pct,next_week_avg_volume,volume_change_pct
DVDN,26.4398,271.0,7165.1858,", , 日BLUE>150(3天), , , 周BLUE>150(2周), , 倍量柱(2次)",False,False,3,False,False,2,0,2,12.80235981771711,0.0,190.89769915164527,4.34037938168131,0.0,177.46220683734717,6.948717948717949,1,-0.6314220843506284,-0.3912396822360509,-0.48036480422915506,-0.5359283236390735,0.2582180487804878,-0.010081927344213926,-0.009593688887146769,-5.370623027738726e-05,1,0,0,0,0,0,0,0,0,26.0361,26.7401,26.0361,-1.5268648023056164,1.135787713976666,-1.5268648023056164,1146.4,323.0258302583026
DWCR,27.755,12.0,333.06,", , 日BLUE>150(4天), , , 周BLUE>150(3周), 黄金柱(1次), 倍量柱(3次)",False,False,4,False,False,3,1,3,-0.595831996630962,190.67184034598918,190.67184034598918,-0.9806399140736355,164.72249224592125,164.72249224592125,6.0,2,-0.4433661935561517,-0.34018221869131504,-0.20636794972967332,-0.22019581950315245,0.270780487804878,-0.007251726493911259,-0.006907757179732299,-3.7836624559685614e-05,1,0,0,0,0,0,0,0,0,27.9438,28.1855,27.755,0.6802377949918892,1.5510718789407463,0.0,8.6,-28.333333333333332
DYLG,25.9492,816.0,21174.5472,", , , 周PINK上穿10, , , , 倍量柱(3次)",False,False,2,True,False,0,0,3,-3.1213213125178143,173.39139321577431,173.39139321577431,8.792809566371428,128.26649216692715,128.26649216692715,28.137931034482758,1,-1.0971219361698807,-0.3299328284910732,-1.534378215357615,-1.017051653787556,0.2535307317073171,-0.019757139030735504,-0.01192328811878159,-0.0008617236003149306,0,1,0,0,0,0,0,0,0,26.1017,26.1284,25.9492,0.5876867109583239,0.690580056417911,0.0,457.4,-43.94607843137255
ECML,31.7379,183.0,5808.0357,", , 日BLUE>150(4天), 周PINK上穿10, , , , 倍量柱(1次)",False,False,4,True,False,0,0,1,9.69989724681691,0.0,200.0,5.832429025227967,0.0,0.0,0.21453692848769051,1,-1.0739701759246785,-0.8654512010895072,-0.41703794967034247,-0.6447152567821761,0.3096380487804878,-0.015526615209953354,-0.015836827816582737,3.412338672923211e-05,1,0,0,0,0,0,1,0,0,31.9713,32.35,31.7379,0.7353983722930613,1.9286090131987343,0.0,376.4,105.68306010928961
EEA,8.14,26289.0,213992.46000000002,", , 日BLUE>150(3天), , , 周BLUE>150(3周), , 倍量柱(2次)",False,False,3,False,False,3,0,2,3.2101391882058197,186.55453508444788,186.55453508444788,3.832103364662207,170.86023637162555,170.94169124353414,0.5691614886661326,3,-0.17289357580660436,-0.09959169497899219,-0.14660376165522435,-0.12159956955276946,0.07939024390243901,-0.0029667819175726168,-0.002451921165998753,-5.663468267312501e-05,1,0,0,0,0,0,0,0,0,8.2472,8.32,8.07,1.3169533169532954,2.211302211302213,-0.8599508599508643,22905.6,-12.870021682072352
EELV,23.33,101367.0,2364892.11,", , , 周PINK上穿10, , , , 倍量柱(3次)",False,False,2,True,False,0,0,3,0.47281952910065017,176.28501535515124,176.28501535515124,6.836750054897631,0.0,0.0,2.166841238964537,2,-0.44699417272510544,-0.34283486194685836,-0.20831862155649417,-0.2292433008889955,0.22785365853658537,-0.007008058515460103,-0.0067028679219385354,-3.35709652873724e-05,1,0,0,0,0,0,0,0,0,23.3824,23.66,23.3,0.22460351478783558,1.4144877839691539,-0.1285897985426332,74749.0,-26.259038937721346
EGP,158.22,270502.0,42798826.44,"日PINK上穿10, , , 周PINK上穿10, , , , ",True,False,0,True,False,0,0,0,6.568159189616871,146.47623575839665,146.47623575839665,9.108358010388915,0.0,0.0,0.8292367399741267,2,-4.261779884551061,-3.60477878547536,-1.3140021981514014,-1.4753260316342474,1.5499878048780489,-0.06809431311090264,-0.06611498961003953,-0.00021772558509494167,0,1,0,0,0,0,0,0,0,158.71,162.77,157.14,0.30969536088991667,2.8757426368347883,-0.6825938566553003,314254.6,16.174593903187407
EIDO,18.77,359394.0,6745825.38,", , , 周PINK上穿10, , , , 倍量柱(2次)",False,False,0,True,False,0,0,2,17.351494723949685,0.0,138.38748426390148,7.4611936040577875,0.0,0.0,3.142270096350569,2,-0.627645372899142,-0.6078123767787483,-0.03966599224078737,-0.18581613541437222,0.18320731707317076,-0.009467651568166924,-0.010486891866005078,0.000112116432762197,1,0,0,0,0,0,0,0,0,18.36,18.99,18.35,-2.1843367075119913,1.172083111347888,-2.2376132125732417,459406.4,27.828066133547026
ELPC,5.2955,5710.0,30237.304999999997,", , , , , 周BLUE>150(5周), , 倍量柱(2次)",False,False,1,False,False,5,0,2,14.786329742128594,127.07742360195525,173.53430363136764,8.185260647090674,158.87183977073462,200.0,7.572944297082228,1,-0.1626146863516018,-0.1782712193277097,0.03131306595221578,0.0063704904569094846,0.05118658536585366,-0.002675384939184275,-0.0028139319118054796,1.5240166988332521e-05,1,0,0,0,0,0,0,0,0,5.295,5.43,5.1,-0.009441979038804504,2.539892361438967,-3.6918138041733606,6208.2,8.725043782837115
ELV,365.83,1190546.0,435537443.18,"日PINK上穿10, , , , , 周BLUE>150(4周), , 倍量柱(1次)",True,False,1,False,False,4,0,1,7.518473330714285,0.0,182.52561577034555,1.3555885940764227,0.0,181.297732785089,1.013637818766347,2,-12.369271781477892,-14.243237557801049,3.747931552646314,2.9355157768133884,3.5880853658536584,-0.20441778950227807,-0.22196831088246433,0.0019305573518204882,0,1,0,0,0,0,0,0,0,383.24,385.38,364.615,4.759041084656812,5.344012246125263,-0.33212147718885143,1306138.0,9.709158654936466
EMDM,20.4662,441.0,9025.5942,", , 日BLUE>150(3天), , , 周BLUE>150(3周), , 倍量柱(2次)",False,False,3,False,False,3,0,2,1.6737142092058146,0.0,200.0,-1.5306448439377525,200.0,200.0,0.46617336152219874,1,-0.6515449892365304,-0.5570676119486182,-0.18895475457582434,-0.2551686663505078,0.19967024390243904,-0.010189899686961823,-0.010161139967367692,-3.1635691553543593e-06,1,0,0,0,0,0,0,0,0,20.6336,21.09,20.4662,0.8179339594062363,3.0479522334385445,0.0,385.6,-12.56235827664398
EMSF,24.28,5417.0,131524.76,", , 日BLUE>150(4天), 周PINK上穿10, , , , 倍量柱(2次)",False,False,4,True,False,0,0,2,-0.044747692181632104,193.2002419801741,193.2002419801741,3.487916025995725,0.0,0.0,16.719135802469136,1,-0.7267743342261923,-0.5323047819618609,-0.38893910452866276,-0.4307359278546311,0.2370487804878049,-0.011383285758652217,-0.010785273013020394,-6.578140201950063e-05,1,0,0,0,0,0,0,0,0,24.1921,24.75,24.16,-0.36202635914333037,1.9357495881383802,-0.49423393739703725,7267.4,34.15912866900497
EVHY,52.4606,33.0,1731.1997999999999,", , 日BLUE>150(4天), , , 周BLUE>150(2周), , 倍量柱(2次)",False,False,4,False,False,2,0,2,16.297645930777847,0.0,200.0,20.36028357132853,0.0,188.15010383338984,0.01213235294117647,1,-0.40891647394058595,-0.28934999891877566,-0.23913295004362056,-0.31550091956546733,0.5118107317073171,-0.006103127830458188,-0.0062180255774657205,1.2638752170828555e-05,1,0,0,0,0,0,1,0,0,52.4655,52.5796,52.2901,0.00934034303838871,0.22683690236100507,-0.32500581388699157,307.0,830.3030303030303
EWL,45.85,513584.0,23547826.400000002,"日PINK上穿10, , , 周PINK上穿10, , , , 倍量柱(1次)",True,False,0,True,False,0,0,1,9.718989501641968,0.0,145.66644214325007,9.536063880093572,0.0,123.64472357522835,0.9272176465703071,2,-0.7093873008530522,-0.6870984749105344,-0.044577651885035596,-0.05820294448675238,0.4480978048780488,-0.011363677856746135,-0.0114842118425409,1.3258738437424075e-05,0,1,0,0,0,0,0,0,0,47.0,47.08,45.8,2.5081788440566966,2.682660850599783,-0.10905125408943173,506215.0,-1.4348188417084629
EWZS,9.31,267780.0,2493031.8000000003,", , , , , 周BLUE>150(2周), , 倍量柱(2次)",False,False,1,False,False,2,0,2,4.57975157902567,134.71036137272432,154.85849629515758,1.8559954905483735,154.60311931725676,154.60311931725676,2.3865672040854524,2,-0.637654344501609,-0.618013533320527,-0.039281622362163926,-0.12756970854100524,0.09046365853658536,-0.009954791466744842,-0.010339384423996697,4.23052252977041e-05,1,0,0,0,0,0,0,0,0,9.43,9.71,9.1101,1.2889366272824887,4.29645542427497,-2.147153598281437,243843.4,-8.938905071327207
