symbol,price,Volume,turnover,blue_daily,max_blue_daily,blue_days,blue_weekly,max_blue_weekly,blue_weeks,lired_daily,lired_days,lired_weekly,lired_weeks,company_name
TGI,24.865,293328.0,729.360072,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,"Triumph Group, Inc."
MSOS,2.365,707638.0,167.356387,0.0,0.0,0,0.0,210.5601923702008,2,0.0,0,0.0,0,AdvisorShares Pure US Cannabis ETF
ADNT,11.87,186631.0,221.53099699999999,0.0,0.0,0,0.0,271.15417610029897,3,0.0,0,0.0,0,Adient plc Ordinary Shares
PWZ,22.97,176975.0,406.511575,0.0,0.0,0,0.0,350.00000000000006,3,0.0,0,0.0,0,Invesco California AMT-Free Municipal Bond ETF
PII,33.61,436193.0,1466.044673,0.0,0.0,0,0.0,292.6631914403018,2,0.0,0,0.0,0,Polaris Inc.
OGN,10.905,1422856.0,1551.624468,0.0,54.447941331665184,0,0.0,286.44822615411334,3,0.0,0,0.0,0,Organon & Co.
ARMN,5.555,432131.0,240.04877050000002,0.0,0.0,0,0.0,0.0,0,0.0,2,0.0,2,Aris Mining Corporation
APLS,17.28,977692.0,1689.451776,172.0807118651015,172.0807118651015,1,325.85074864080224,347.1266037257344,4,0.0,0,0.0,0,"Apellis Pharmaceuticals, Inc. Common Stock"
HLMN,7.43,297215.0,220.83074499999998,0.0,0.0,0,0.0,282.91845618029396,3,0.0,0,0.0,0,Hillman Solutions Corp. Common Stock
OPEN,0.94745,26426658.0,2503.7937122099997,0.0,0.0,0,0.0,180.53461424178343,2,0.0,0,0.0,0,Opendoor Technologies Inc Common Stock
SGML,7.375,225444.0,166.26495,0.0,263.2314026769746,2,0.0,205.70648943541906,3,0.0,0,0.0,0,Sigma Lithium Corporation Common Shares
VNO,33.91,318710.0,1080.74561,0.0,0.0,0,0.0,289.87727617010853,2,0.0,0,0.0,0,Vornado Realty Trust
SWK,57.9499,464812.0,2693.58089188,0.0,0.0,0,0.0,237.62913095586003,3,0.0,0,0.0,0,"Stanley Black & Decker, Inc."
DBRG,8.025,518423.0,416.03445750000003,0.0,0.0,0,0.0,304.237934799809,3,0.0,0,0.0,0,"DigitalBridge Group, Inc."
