symbol,name,price,Volume,turnover,blue_daily,blue_days,lired_daily,lired_days,blue_weekly,blue_weeks,lired_weekly,lired_weeks
SZ920128,胜业电气,41.23,44329.0,182.768467,0.0,0,-205.57511170954598,4,0.0,0,0.0,0
BJ920002,万达轴承,235.69,14562.0,343.211778,0.0,0,0.0,0,0.0,0,0.0,3
BJ920019,铜冠矿建,26.12,55609.0,145.250708,0.0,0,0.0,3,0.0,0,0.0,0
BJ873833,美心翼申,27.57,147538.0,406.762266,0.0,0,0.0,3,0.0,0,0.0,1
BJ920082,方正阀门,27.94,212917.0,594.8900980000001,0.0,0,-184.5433343526254,5,0.0,0,-350.0,2
BJ920099,瑞华技术,36.05,20862.0,75.20751,0.0,0,0.0,4,0.0,0,0.0,0
BJ920108,宏海科技,31.63,111087.0,351.368181,0.0,0,-447.49370875578325,4,0.0,0,-350.0,3
BJ920111,聚星科技,35.1,63823.0,224.01873000000003,0.0,0,0.0,3,0.0,0,0.0,0
BJ920128,胜业电气,41.23,44329.0,182.768467,0.0,0,-205.57511170954598,4,0.0,0,0.0,0
BJ838810,春光药装,28.7,120037.0,344.50619,0.0,0,-0.05274050074016766,0,0.0,0,-236.59789183323454,4
SZ920111,聚星科技,35.1,63823.0,224.01873000000003,0.0,0,0.0,3,0.0,0,0.0,0
BJ870866,绿亨科技,10.12,47063.0,47.62775599999999,0.0,0,-187.78053211754732,5,0.0,0,0.0,0
BJ920118,太湖远大,33.29,11846.0,39.435334,0.0,0,-328.1898216534876,5,0.0,0,0.0,0
