symbol,signal_date,buy_price,blue,lired,cci,heima,5d,5d_price,10d,10d_price,20d,20d_price,max_gain,max_loss,month
000045.SZ,2025-04-11,9.69,0.0,0.0,-85.48548548548551,,-1.1351909184726463,9.58,2.992776057791547,9.98,6.2951496388029025,10.3,9.494324045407636,-3.405572755417958,2025-04
000045.SZ,2025-04-14,9.86,0.0,0.0,-58.52309061083753,,-0.6085192697768633,9.8,-1.825557809330626,9.68,2.941176470588245,10.15,7.606490872210954,-4.665314401622709,2025-04
000045.SZ,2025-08-01,10.54,200.0,0.0,-112.96891747052679,,3.3206831119544726,10.89,7.495256166982932,11.33,5.3130929791271395,11.1,16.508538899430743,-1.0436432637571105,2025-08
000045.SZ,2025-08-04,10.6,0.0,0.0,-80.74534161490585,,8.490566037735853,11.5,10.18867924528302,11.68,4.905660377358487,11.12,15.849056603773581,-1.6037735849056596,2025-08
000045.SZ,2025-08-05,10.76,0.0,0.0,48.568054325361196,,11.895910780669139,12.04,7.806691449814125,11.6,0.4646840148698951,10.81,14.126394052044605,-1.5799256505576205,2025-08
000045.SZ,2025-08-06,10.71,0.0,0.0,51.74171622769832,,9.990662931839388,11.78,9.617180205415494,11.74,-0.7469654528478065,10.63,14.659197012138172,-1.2138188608776916,2025-08
000049.SZ,2025-01-13,21.92,128.491903361397,0.0,-107.4128834000116,,4.7901459854014465,22.97,3.102189781021896,22.6,8.759124087591232,23.84,11.998175182481747,-1.5510948905109643,2025-01
000049.SZ,2025-04-07,20.52,117.68101242007077,0.0,-293.96794521103095,,-0.34113060428850045,20.45,0.04873294346979319,20.53,5.068226120857696,21.56,5.896686159844059,-11.111111111111118,2025-04
000049.SZ,2025-04-08,19.75,122.3989948628653,0.0,-264.8150585757536,,3.999999999999996,20.54,3.79746835443038,20.5,9.012658227848107,21.53,10.025316455696204,-7.645569620253173,2025-04
000049.SZ,2025-04-09,19.75,124.60687573571589,0.0,-200.24580915538345,,2.6329113924050613,20.27,6.734177215189866,21.08,11.39240506329114,22.0,11.645569620253168,-7.645569620253173,2025-04
000049.SZ,2025-04-10,20.17,0.0,0.0,-105.9653702253543,,-0.19831432821022657,20.13,4.065443728309353,20.99,9.271194843827454,22.04,11.254338125929596,-1.7848289538919333,2025-04
000049.SZ,2025-04-11,20.12,0.0,0.0,-93.2408848639216,,0.8946322067594419,20.3,4.373757455268384,21.0,9.19483101391649,21.97,11.530815109343937,-1.5407554671968302,2025-04
000049.SZ,2025-04-14,20.45,0.0,0.0,-58.883496627292956,,0.391198044009789,20.53,1.711491442542794,20.8,5.819070904645483,21.64,9.731051344743287,-2.347188264058682,2025-04
000055.SZ,2024-12-19,4.15,129.21044546310353,0.0,-186.66666666666754,,-3.855421686746991,3.99,-9.397590361445795,3.76,-4.578313253012057,3.96,7.46987951807228,-12.771084337349404,2024-12
000055.SZ,2024-12-20,4.23,0.0,0.0,-35.15031384208756,,-3.7825059101654874,4.07,-10.40189125295509,3.79,-3.0732860520094745,4.1,5.437352245862873,-14.420803782505917,2024-12
000055.SZ,2024-12-23,4.03,122.00147290906231,0.0,-166.27906976744168,,-0.9925558312655095,3.99,-5.707196029776685,3.8,-0.24813895781639392,4.02,10.173697270471466,-10.173697270471466,2024-12
000055.SZ,2024-12-24,4.09,0.0,0.0,-147.69975786924942,,-3.667481662591685,3.94,-7.33496332518337,3.79,-3.422982885085567,3.95,8.557457212713949,-11.491442542787281,2024-12
000055.SZ,2024-12-25,4.01,119.77616218893446,0.0,-142.46731097214365,,-3.2418952618453836,3.88,-6.733167082294254,3.74,-1.9950124688279212,3.93,10.72319201995014,-9.725685785536152,2024-12
000055.SZ,2024-12-26,3.99,0.0,0.0,-123.94014962593505,,-5.764411027568932,3.76,-8.02005012531329,3.67,-1.5037593984962419,3.93,11.278195488721808,-9.273182957393486,2024-12
000055.SZ,2025-01-02,3.88,132.96475980708627,0.0,-117.49408983451558,,-3.6082474226804044,3.74,3.8659793814433083,4.03,5.927835051546403,4.11,14.432989690721662,-6.7010309278350455,2025-01
000055.SZ,2025-01-03,3.76,140.3293863120102,0.0,-153.329800388624,,-2.3936170212765924,3.67,5.319148936170218,3.96,10.106382978723403,4.14,18.08510638297874,-3.7234042553191404,2025-01
000055.SZ,2025-01-06,3.79,143.69622652761828,0.0,-160.2067183462533,,6.596306068601583,4.04,8.179419525065953,4.1,9.49868073878629,4.15,17.150395778364125,-4.4854881266490745,2025-01
000055.SZ,2025-01-07,3.8,0.0,0.0,-121.51431209602929,,12.89473684210527,4.29,5.78947368421052,4.02,9.210526315789489,4.15,16.84210526315791,-4.73684210526315,2025-01
000055.SZ,2025-01-08,3.79,0.0,0.0,-109.24855491329477,,6.86015831134564,4.05,4.221635883905018,3.95,8.443271767810035,4.11,17.150395778364125,-4.4854881266490745,2025-01
