code,name,industry,area,source
000615.SZ,*ST美谷,医疗保健,湖北,tushare
000617.SZ,中油资本,多元金融,新疆,tushare
000619.SZ,海螺新材,其他建材,安徽,tushare
000620.SZ,盈新发展,全国地产,北京,tushare
000623.SZ,吉林敖东,中成药,吉林,tushare
000625.SZ,长安汽车,汽车整车,重庆,tushare
000626.SZ,远大控股,商贸代理,江苏,tushare
000627.SZ,*ST天茂,保险,湖北,tushare
000628.SZ,高新发展,建筑工程,四川,tushare
000629.SZ,钒钛股份,小金属,四川,tushare
000630.SZ,铜陵有色,铜,安徽,tushare
000631.SZ,顺发恒业,综合类,浙江,tushare
000632.SZ,三木集团,综合类,福建,tushare
000633.SZ,合金投资,小金属,新疆,tushare
000635.SZ,英力特,化工原料,宁夏,tushare
000636.SZ,风华高科,元器件,广东,tushare
000637.SZ,茂化实华,石油加工,广东,tushare
000638.SZ,*ST万方,农业综合,吉林,tushare
000639.SZ,西王食品,食品,山东,tushare
000650.SZ,仁和药业,中成药,江西,tushare
000651.SZ,格力电器,家用电器,广东,tushare
000652.SZ,泰达股份,批发业,天津,tushare
000655.SZ,金岭矿业,普钢,山东,tushare
000656.SZ,*ST金科,全国地产,重庆,tushare
000657.SZ,中钨高新,小金属,海南,tushare
000659.SZ,珠海中富,广告包装,广东,tushare
000661.SZ,长春高新,生物制药,吉林,tushare
000663.SZ,永安林业,林业,福建,tushare
000665.SZ,湖北广电,影视音像,湖北,tushare
000668.SZ,*ST荣控,房产服务,山东,tushare
000669.SZ,ST金鸿,供气供热,湖南,tushare
000670.SZ,盈方微,元器件,湖北,tushare
000672.SZ,上峰水泥,水泥,甘肃,tushare
000676.SZ,智度股份,互联网,广东,tushare
000677.SZ,恒天海龙,化纤,山东,tushare
000678.SZ,襄阳轴承,汽车配件,湖北,tushare
000679.SZ,大连友谊,百货,辽宁,tushare
000680.SZ,山推股份,工程机械,山东,tushare
000681.SZ,视觉中国,互联网,江苏,tushare
000682.SZ,东方电子,电气设备,山东,tushare
000683.SZ,博源化工,化工原料,内蒙,tushare
000685.SZ,中山公用,水务,广东,tushare
000686.SZ,东北证券,证券,吉林,tushare
000688.SZ,国城矿业,铅锌,四川,tushare
000690.SZ,宝新能源,火力发电,广东,tushare
000691.SZ,*ST亚太,化工原料,甘肃,tushare
000692.SZ,惠天热电,供气供热,辽宁,tushare
000695.SZ,滨海能源,化工原料,天津,tushare
000697.SZ,ST炼石,航空,陕西,tushare
000698.SZ,沈阳化工,石油加工,辽宁,tushare
000700.SZ,模塑科技,汽车配件,江苏,tushare
000701.SZ,厦门信达,商贸代理,福建,tushare
000702.SZ,正虹科技,饲料,湖南,tushare
000703.SZ,恒逸石化,化纤,广西,tushare
000705.SZ,浙江震元,医药商业,浙江,tushare
000707.SZ,双环科技,化工原料,湖北,tushare
000708.SZ,中信特钢,特种钢,湖北,tushare
000709.SZ,河钢股份,普钢,河北,tushare
000710.SZ,贝瑞基因,医疗保健,四川,tushare
000711.SZ,*ST京蓝,环境保护,黑龙江,tushare
000712.SZ,锦龙股份,证券,广东,tushare
000713.SZ,丰乐种业,种植业,安徽,tushare
000715.SZ,中兴商业,百货,辽宁,tushare
000716.SZ,黑芝麻,食品,广西,tushare
000717.SZ,中南股份,普钢,广东,tushare
000718.SZ,苏宁环球,区域地产,吉林,tushare
000719.SZ,中原传媒,出版业,河南,tushare
000720.SZ,新能泰山,电气设备,山东,tushare
000721.SZ,西安饮食,酒店餐饮,陕西,tushare
000722.SZ,湖南发展,水力发电,湖南,tushare
000723.SZ,美锦能源,焦炭加工,山西,tushare
000725.SZ,京东方A,元器件,北京,tushare
000726.SZ,鲁泰A,纺织,山东,tushare
000727.SZ,冠捷科技,元器件,江苏,tushare
000728.SZ,国元证券,证券,安徽,tushare
000729.SZ,燕京啤酒,啤酒,北京,tushare
000731.SZ,四川美丰,农药化肥,四川,tushare
000733.SZ,振华科技,元器件,贵州,tushare
000735.SZ,罗牛山,农业综合,海南,tushare
000736.SZ,*ST中地,全国地产,重庆,tushare
000737.SZ,北方铜业,铜,山西,tushare
000738.SZ,航发控制,航空,江苏,tushare
000739.SZ,普洛药业,化学制药,浙江,tushare
000750.SZ,国海证券,证券,广西,tushare
000751.SZ,锌业股份,铅锌,辽宁,tushare
000752.SZ,ST西发,啤酒,西藏,tushare
000753.SZ,漳州发展,综合类,福建,tushare
000755.SZ,山西高速,路桥,山西,tushare
000756.SZ,新华制药,化学制药,山东,tushare
000757.SZ,浩物股份,汽车服务,四川,tushare
000758.SZ,中色股份,铅锌,北京,tushare
000759.SZ,中百集团,超市连锁,湖北,tushare
000761.SZ,本钢板材,普钢,辽宁,tushare
000762.SZ,西藏矿业,小金属,西藏,tushare
000766.SZ,通化金马,化学制药,吉林,tushare
000767.SZ,晋控电力,火力发电,山西,tushare
000768.SZ,中航西飞,航空,陕西,tushare
000776.SZ,广发证券,证券,广东,tushare
000777.SZ,中核科技,机械基件,江苏,tushare
000778.SZ,新兴铸管,钢加工,河北,tushare
000779.SZ,甘咨询,建筑工程,甘肃,tushare
000782.SZ,恒申新材,化纤,广东,tushare
000783.SZ,长江证券,证券,湖北,tushare
000785.SZ,居然智家,百货,湖北,tushare
000786.SZ,北新建材,其他建材,北京,tushare
000788.SZ,北大医药,化学制药,重庆,tushare
000789.SZ,万年青,水泥,江西,tushare
000790.SZ,华神科技,中成药,四川,tushare
000791.SZ,甘肃能源,水力发电,甘肃,tushare
000792.SZ,盐湖股份,农药化肥,青海,tushare
000793.SZ,ST华闻,出版业,海南,tushare
000795.SZ,英洛华,矿物制品,浙江,tushare
000796.SZ,凯撒旅业,旅游服务,海南,tushare
000797.SZ,中国武夷,全国地产,福建,tushare
000798.SZ,中水渔业,渔业,北京,tushare
000799.SZ,酒鬼酒,白酒,湖南,tushare
000800.SZ,一汽解放,汽车整车,吉林,tushare
000801.SZ,四川九洲,家用电器,四川,tushare
000802.SZ,北京文化,影视音像,北京,tushare
000803.SZ,山高环能,环境保护,四川,tushare
000807.SZ,云铝股份,铝,云南,tushare
000809.SZ,和展能源,区域地产,辽宁,tushare
000810.SZ,创维数字,家用电器,四川,tushare
000811.SZ,冰轮环境,工程机械,山东,tushare
000812.SZ,陕西金叶,广告包装,陕西,tushare
000813.SZ,德展健康,化学制药,新疆,tushare
000815.SZ,美利云,通信设备,宁夏,tushare
000816.SZ,智慧农业,农用机械,江苏,tushare
000818.SZ,航锦科技,化工原料,辽宁,tushare
000819.SZ,岳阳兴长,石油加工,湖南,tushare
000820.SZ,*ST节能,综合类,江西,tushare
000821.SZ,京山轻机,电气设备,湖北,tushare
000822.SZ,山东海化,化工原料,山东,tushare
000823.SZ,超声电子,元器件,广东,tushare
000825.SZ,太钢不锈,特种钢,山西,tushare
000826.SZ,启迪环境,环境保护,湖北,tushare
000828.SZ,东莞控股,路桥,广东,tushare
000829.SZ,天音控股,其他商业,江西,tushare
000830.SZ,鲁西化工,化工原料,山东,tushare
000831.SZ,中国稀土,小金属,江西,tushare
000833.SZ,粤桂股份,综合类,广西,tushare
000837.SZ,秦川机床,机床制造,陕西,tushare
000838.SZ,财信发展,区域地产,重庆,tushare
000839.SZ,国安股份,综合类,北京,tushare
000848.SZ,承德露露,软饮料,河北,tushare
000850.SZ,华茂股份,纺织,安徽,tushare
000851.SZ,*ST高鸿,通信设备,贵州,tushare
000852.SZ,石化机械,化工机械,湖北,tushare
000856.SZ,冀东装备,专用机械,河北,tushare
000858.SZ,五粮液,白酒,四川,tushare
000859.SZ,国风新材,塑料,安徽,tushare
000860.SZ,顺鑫农业,白酒,北京,tushare
000862.SZ,银星能源,新型电力,宁夏,tushare
000863.SZ,三湘印象,区域地产,上海,tushare
000868.SZ,安凯客车,汽车整车,安徽,tushare
000869.SZ,张裕A,红黄酒,山东,tushare
000875.SZ,吉电股份,火力发电,吉林,tushare
000876.SZ,新希望,饲料,四川,tushare
000877.SZ,天山股份,水泥,新疆,tushare
000878.SZ,云南铜业,铜,云南,tushare
000880.SZ,潍柴重机,专用机械,山东,tushare
000881.SZ,中广核技,化工原料,辽宁,tushare
000882.SZ,华联股份,其他商业,北京,tushare
000883.SZ,湖北能源,水力发电,湖北,tushare
000885.SZ,城发环境,环境保护,河南,tushare
000886.SZ,海南高速,区域地产,海南,tushare
000887.SZ,中鼎股份,汽车配件,安徽,tushare
000888.SZ,峨眉山A,旅游景点,四川,tushare
000889.SZ,中嘉博创,通信设备,河北,tushare
000890.SZ,法尔胜,环境保护,江苏,tushare
000892.SZ,欢瑞世纪,影视音像,重庆,tushare
000893.SZ,亚钾国际,农药化肥,广东,tushare
000895.SZ,双汇发展,食品,河南,tushare
000897.SZ,津滨发展,区域地产,天津,tushare
000898.SZ,鞍钢股份,普钢,辽宁,tushare
000899.SZ,赣能股份,火力发电,江西,tushare
000900.SZ,现代投资,路桥,湖南,tushare
000901.SZ,航天科技,汽车配件,黑龙江,tushare
000902.SZ,新洋丰,农药化肥,湖北,tushare
000903.SZ,ST云动,汽车配件,云南,tushare
000905.SZ,厦门港务,港口,福建,tushare
000906.SZ,浙商中拓,仓储物流,浙江,tushare
000908.SZ,ST景峰,化学制药,湖南,tushare
000909.SZ,ST数源,区域地产,浙江,tushare
000910.SZ,大亚圣象,家居用品,江苏,tushare
000911.SZ,广农糖业,食品,广西,tushare
000912.SZ,泸天化,农药化肥,四川,tushare
000913.SZ,钱江摩托,摩托车,浙江,tushare
000915.SZ,华特达因,化学制药,山东,tushare
000917.SZ,电广传媒,广告包装,湖南,tushare
000919.SZ,金陵药业,化学制药,江苏,tushare
000920.SZ,沃顿科技,塑料,贵州,tushare
000921.SZ,海信家电,家用电器,广东,tushare
000922.SZ,佳电股份,电气设备,黑龙江,tushare
000923.SZ,河钢资源,普钢,河北,tushare
000925.SZ,众合科技,运输设备,浙江,tushare
000926.SZ,福星股份,区域地产,湖北,tushare
000927.SZ,中国铁物,仓储物流,天津,tushare
000928.SZ,中钢国际,建筑工程,吉林,tushare
000929.SZ,*ST兰黄,啤酒,甘肃,tushare
000930.SZ,中粮科技,农业综合,安徽,tushare
000931.SZ,中关村,化学制药,北京,tushare
000932.SZ,华菱钢铁,普钢,湖南,tushare
000933.SZ,神火股份,铝,河南,tushare
000935.SZ,四川双马,水泥,四川,tushare
000936.SZ,华西股份,化纤,江苏,tushare
000937.SZ,冀中能源,煤炭开采,河北,tushare
000938.SZ,紫光股份,IT设备,北京,tushare
000948.SZ,南天信息,软件服务,云南,tushare
000949.SZ,新乡化纤,化纤,河南,tushare
000950.SZ,重药控股,医药商业,重庆,tushare
000951.SZ,中国重汽,汽车整车,山东,tushare
000952.SZ,广济药业,化学制药,湖北,tushare
000953.SZ,河化股份,化学制药,广西,tushare
000955.SZ,欣龙控股,纺织,海南,tushare
000957.SZ,中通客车,汽车整车,山东,tushare
000958.SZ,电投产融,多元金融,河北,tushare
000959.SZ,首钢股份,普钢,北京,tushare
000960.SZ,锡业股份,小金属,云南,tushare
000962.SZ,东方钽业,小金属,宁夏,tushare
000963.SZ,华东医药,化学制药,浙江,tushare
000965.SZ,天保基建,区域地产,天津,tushare
000966.SZ,长源电力,火力发电,湖北,tushare
000967.SZ,盈峰环境,环境保护,浙江,tushare
000968.SZ,蓝焰控股,石油开采,山西,tushare
000969.SZ,安泰科技,小金属,北京,tushare
000970.SZ,中科三环,矿物制品,北京,tushare
000972.SZ,*ST中基,食品,新疆,tushare
000973.SZ,佛塑科技,塑料,广东,tushare
000975.SZ,山金国际,黄金,内蒙,tushare
000977.SZ,浪潮信息,IT设备,山东,tushare
000978.SZ,桂林旅游,旅游景点,广西,tushare
000980.SZ,众泰汽车,汽车配件,浙江,tushare
000981.SZ,山子高科,汽车配件,甘肃,tushare
000983.SZ,山西焦煤,煤炭开采,山西,tushare
000985.SZ,大庆华科,化工原料,黑龙江,tushare
000987.SZ,越秀资本,多元金融,广东,tushare
000988.SZ,华工科技,专用机械,湖北,tushare
000989.SZ,九芝堂,中成药,湖南,tushare
000990.SZ,诚志股份,化工原料,江西,tushare
000993.SZ,闽东电力,水力发电,福建,tushare
000995.SZ,皇台酒业,白酒,甘肃,tushare
000997.SZ,新大陆,IT设备,福建,tushare
000998.SZ,隆平高科,种植业,湖南,tushare
000999.SZ,华润三九,中成药,深圳,tushare
001201.SZ,东瑞股份,农业综合,广东,tushare
001202.SZ,炬申股份,仓储物流,广东,tushare
001203.SZ,大中矿业,普钢,内蒙,tushare
001205.SZ,盛航股份,水运,江苏,tushare
001206.SZ,依依股份,造纸,天津,tushare
001207.SZ,联科科技,化工原料,山东,tushare
001208.SZ,华菱线缆,电气设备,湖南,tushare
001209.SZ,洪兴股份,服饰,广东,tushare
001210.SZ,金房能源,供气供热,北京,tushare
001211.SZ,双枪科技,家居用品,浙江,tushare
001212.SZ,中旗新材,其他建材,广东,tushare
001213.SZ,中铁特货,铁路,北京,tushare
001215.SZ,千味央厨,食品,河南,tushare
001216.SZ,华瓷股份,家居用品,湖南,tushare
001217.SZ,华尔泰,化工原料,安徽,tushare
001218.SZ,丽臣实业,化工原料,湖南,tushare
001219.SZ,青岛食品,食品,山东,tushare
001221.SZ,悍高集团,家居用品,广东,tushare
001222.SZ,源飞宠物,文教休闲,浙江,tushare
001223.SZ,欧克科技,专用机械,江西,tushare
001225.SZ,和泰机电,专用机械,浙江,tushare
001226.SZ,拓山重工,工程机械,安徽,tushare
001227.SZ,兰州银行,银行,甘肃,tushare
001228.SZ,永泰运,仓储物流,浙江,tushare
001229.SZ,魅视科技,IT设备,广东,tushare
001230.SZ,劲旅环境,环境保护,安徽,tushare
001231.SZ,农心科技,农药化肥,陕西,tushare
001234.SZ,泰慕士,服饰,江苏,tushare
001236.SZ,弘业期货,多元金融,江苏,tushare
001238.SZ,浙江正特,家居用品,浙江,tushare
001239.SZ,永达股份,工程机械,湖南,tushare
001255.SZ,博菲电气,电气设备,浙江,tushare
001256.SZ,炜冈科技,轻工机械,浙江,tushare
001258.SZ,立新能源,新型电力,新疆,tushare
001259.SZ,利仁科技,家用电器,北京,tushare
001260.SZ,坤泰股份,汽车配件,山东,tushare
001266.SZ,宏英智能,电器仪表,上海,tushare
001267.SZ,汇绿生态,建筑工程,湖北,tushare
001268.SZ,联合精密,机械基件,广东,tushare
001269.SZ,欧晶科技,矿物制品,内蒙,tushare
001270.SZ,*ST铖昌,半导体,浙江,tushare
001277.SZ,速达股份,专用机械,河南,tushare
001278.SZ,一彬科技,汽车配件,浙江,tushare
001279.SZ,强邦新材,广告包装,安徽,tushare
