symbol,name,price,Volume,turnover,blue_daily,blue_days,latest_day_blue_value,blue_weekly,blue_weeks,latest_week_blue_value,has_day_blue,has_week_blue,has_day_week_blue,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,latest_cci_daily,latest_cci_weekly,day_blue_dates,week_blue_dates,heima_dates
300121.SZ,阳谷华泰,12.62,116224.0,146.67468799999997,149.97719473260423,5,149.97719473260423,0.0,0,0.0,True,False,False,0,0,1,1,True,True,-169.9375144642447,-153.70384969123657,"[{'date': '2025-12-24', 'value': 131.6224113970817}, {'date': '2025-12-26', 'value': 133.8463530908619}, {'date': '2025-12-29', 'value': 143.57782103047188}, {'date': '2025-12-30', 'value': 147.9153845551281}, {'date': '2025-12-31', 'value': 149.97719473260423}]",[],"['2025-12-31', '2026-01-05']"
300148.SZ,天舟文化,4.39,265699.31,116.64199708999999,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,1,False,True,74.53703703703813,-101.58917783031312,[],"[{'date': '2025-12-15', 'value': 177.1576541638754}, {'date': '2025-12-22', 'value': 200.0}]",['2025-12-22']
300168.SZ,万达信息,6.46,165301.87,106.78500801999999,0.0,0,0.0,0.0,3,199.99999999999997,False,True,False,0,1,0,1,False,True,-10.842627013630594,-123.42176984259385,[],"[{'date': '2025-12-08', 'value': 169.0902557701114}, {'date': '2025-12-15', 'value': 190.96156216827603}, {'date': '2025-12-22', 'value': 199.99999999999997}]",['2025-12-22']
300173.SZ,ST福能,4.23,251194.0,106.25506200000001,0.0,2,105.20274222522879,200.0,3,200.0,False,True,False,0,0,0,1,False,True,-80.17510944340214,-204.29169746242894,"[{'date': '2025-12-24', 'value': 105.53367839427321}, {'date': '2025-12-30', 'value': 105.20274222522879}]","[{'date': '2025-12-22', 'value': 171.81379819175373}, {'date': '2025-12-29', 'value': 192.43550331619744}, {'date': '2026-01-05', 'value': 200.0}]",['2026-01-05']
300180.SZ,华峰超纤,6.93,751211.13,520.58931309,0.0,0,0.0,0.0,3,194.76938131132513,False,True,False,0,1,0,1,False,True,140.8109531332283,-6.880189798339329,[],"[{'date': '2025-12-08', 'value': 182.15776155601125}, {'date': '2025-12-15', 'value': 190.77950503460863}, {'date': '2025-12-22', 'value': 194.76938131132513}]",['2025-12-22']
300212.SZ,易华录,17.45,194791.68,339.91148159999995,0.0,0,0.0,0.0,3,200.0,False,True,False,0,1,0,1,False,True,129.57808703335564,-85.43401391582063,[],"[{'date': '2025-12-08', 'value': 176.63010261565722}, {'date': '2025-12-15', 'value': 192.93041349013885}, {'date': '2025-12-22', 'value': 200.0}]",['2025-12-22']
300231.SZ,银信科技,10.53,120009.44,126.36994032000001,0.0,0,0.0,0.0,2,153.82455509138376,False,True,False,0,0,0,1,False,True,195.86854460093872,-73.04020438348779,[],"[{'date': '2025-12-15', 'value': 136.20664320692464}, {'date': '2025-12-22', 'value': 153.82455509138376}]",['2025-12-22']
300248.SZ,新开普,12.41,184689.58,229.19976878,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,0,False,False,132.62260127931773,-35.57617942768742,[],"[{'date': '2025-12-15', 'value': 177.09349865911122}, {'date': '2025-12-22', 'value': 200.0}]",[]
300287.SZ,飞利信,4.89,304152.91,148.73077298999996,0.0,0,0.0,0.0,2,200.0,False,True,False,0,1,0,1,False,True,-90.7075873827803,-139.16474210931506,[],"[{'date': '2025-12-08', 'value': 187.04968956452427}, {'date': '2025-12-22', 'value': 200.0}]","['2025-12-22', '2026-01-05']"
300386.SZ,飞天诚信,18.06,235899.19,426.03393714,0.0,0,0.0,0.0,2,200.0,False,True,False,0,0,0,1,False,True,203.05960456054294,133.4011529331975,[],"[{'date': '2025-12-08', 'value': 191.78492444720038}, {'date': '2025-12-22', 'value': 200.0}]",['2025-12-22']
300465.SZ,高伟达,20.13,199449.68,401.49220583999994,0.0,3,200.0,0.0,0,0.0,True,False,False,0,0,0,1,False,True,-8.209161147903071,-107.1266454834318,"[{'date': '2025-12-24', 'value': 170.96577629130843}, {'date': '2025-12-26', 'value': 181.43799970048406}, {'date': '2025-12-29', 'value': 200.0}]",[],['2025-12-29']
