symbol,price,Volume,turnover,blue_daily,max_blue_daily,blue_days,latest_day_blue_value,blue_weekly,max_blue_weekly,blue_weeks,latest_week_blue_value,has_day_week_blue,day_heima_count,week_heima_count,day_juedi_count,week_juedi_count,has_day_heima,has_week_heima,has_day_juedi,has_week_juedi,latest_cci_daily,latest_cci_weekly,company_name
GLL,26.21,1298436.0,3403.200756,0.0,92.03049585659853,2,92.03049585659853,0.0,0.0,0,0.0,False,0,0,1,0,False,False,True,False,-141.92812057302908,-108.80908789639808,ProShares UltraShort Gold
XRPI,11.2,609545.0,682.6904,0.0,95.13434394333575,1,95.13434394333575,0.0,200.00000000000003,2,195.91344483042238,True,1,0,1,1,True,False,True,True,-130.9650853982411,-111.0088242160441,Volatility Shares Trust XRP ETF
SCCR,25.875,146379.0,378.7556625,0.0,119.80920902054001,2,119.80920902054001,0.0,0.0,0,0.0,False,0,0,0,1,False,False,False,True,-37.95419474449997,-75.22966713466444,Schwab Core Bond ETF
IGF,60.89,717977.0,4371.761953,51.20248310685584,51.20248310685584,1,51.20248310685584,0.0,0.0,0,0.0,False,0,0,1,1,False,False,True,True,-204.62551299589617,-110.69787972810751,iShares Global Infrastructure ETF
WSO,342.48,219669.0,7523.223912,0.0,0.0,0,0.0,0.0,112.82887373712093,1,112.82887373712093,False,0,0,0,1,False,False,False,True,-53.43938935219535,-66.46399153734433,"Watsco, Inc."
TRNS,60.36,164365.0,992.1071400000001,0.0,43.62952193590372,0,0.0,0.0,149.0680666682279,3,149.0680666682279,False,0,1,1,0,False,True,True,False,192.51589937270714,-33.60277480753616,Transcat Inc
TMF,38.41,6476479.0,24876.155839,58.57229227892702,58.57229227892702,2,58.57229227892702,0.0,0.0,0,0.0,False,1,0,0,1,True,False,False,True,-88.36101947700054,-152.70699692768505,Direxion Daily 20+ Year Treasury Bull 3X Shares (based on the NYSE 20 Year Plus Treasury Bond Index; symbol AXTWEN)
SNY,47.52,1752911.0,8329.833072,0.0,85.53257930814243,2,66.34726185458582,0.0,0.0,0,0.0,False,0,0,1,0,False,False,True,False,-127.3529542662408,-80.75554352620397,Sanofi American Depositary Shares (Each representing one-half of one ordinary share)
ACP,5.415,659418.0,357.07484700000003,0.0,0.0,0,0.0,0.0,83.50093705316878,1,83.50093705316878,False,0,0,0,1,False,False,False,True,3.032791372414685,-67.5995446185094,abrdn Income Credit Strategies Fund
NXDR,2.2314,11219143.0,2503.43956902,0.0,0.0,0,0.0,0.0,200.0,1,200.0,False,0,1,0,1,False,True,False,True,28.772592812760916,73.25057517338705,"Nextdoor Holdings, Inc."
AVGX,46.92,1472248.0,6907.787616,61.77283535760189,61.77283535760189,1,61.77283535760189,0.0,0.0,0,0.0,False,1,0,1,1,True,False,True,True,-177.73269996104244,-138.57552851592223,Defiance Daily Target 2X Long AVGO ETF
SONY,26.545,2611345.0,6931.8153025,66.57495090833208,69.27424982244054,3,66.57495090833208,0.0,0.0,0,0.0,False,1,0,0,1,True,False,False,True,-108.44520580208327,-188.86349535455412,Sony Group Corporation American Depositary Shares (Each Representing One Share of Dollar Validated Common Stock)
ADBE,348.15,2805995.0,97690.71592499998,0.0,0.0,0,0.0,0.0,100.63482350328607,1,100.63482350328607,False,0,1,0,1,False,True,False,True,75.71770673332105,48.79264440253186,Adobe Inc.
IRE,5.7,19948388.0,11370.581160000002,199.99999999999997,199.99999999999997,3,199.99999999999997,0.0,0.0,0,0.0,False,1,0,1,0,True,False,True,False,-181.33157307114467,-97.62289343694881,Defiance Daily Target 2X Long IREN ETF
ABM,46.355,911852.0,4226.889945999999,0.0,0.0,0,0.0,0.0,114.46247702949367,1,114.46247702949367,False,0,1,0,1,False,True,False,True,88.22569185289711,87.89480773116036,"ABM Industries, Inc."
LRN,66.52,1428920.0,9505.17584,0.0,0.0,0,0.0,0.0,200.0,2,200.0,False,0,1,0,0,False,True,False,False,195.34293139918265,-62.757461810708065,"Stride, Inc."
CRDF,2.405,612587.0,147.3271735,0.0,0.0,0,0.0,0.0,117.50320003570368,1,117.50320003570368,False,0,0,0,1,False,False,False,True,68.54938658422792,127.81987051342173,"Cardiff Oncology, Inc. Common Stock"
BTCL,30.03,95359.0,286.363077,0.0,0.0,0,0.0,0.0,200.0,1,200.0,False,1,1,1,1,True,True,True,True,-121.10273158520313,-92.22482117178399,T-Rex 2X Long Bitcoin Daily Target ETF
RLTY,14.58,89735.0,130.83363,0.0,13.757542663841264,0,0.0,0.0,200.00000000000003,1,200.00000000000003,False,1,0,1,1,True,False,True,True,-98.53727267445282,-151.00227610855538,Cohen & Steers Real Estate Opportunities and Income Fund
NXRT,28.27,231719.0,655.069613,159.83349884241628,159.83349884241628,2,159.83349884241628,200.0,200.0,3,200.0,True,1,0,1,1,True,False,True,True,-131.00100737883488,-212.81861089249375,NexPoint Residential Trust Inc
TMCI,2.695,506583.0,136.5241185,0.0,0.0,0,0.0,0.0,110.3315871776816,1,110.3315871776816,False,0,1,0,1,False,True,False,True,-68.48540178651376,-80.83961468061949,"Treace Medical Concepts, Inc. Common Stock"
KELYA,8.905,189120.0,168.41135999999997,0.0,0.0,0,0.0,0.0,113.35779858214849,1,113.35779858214849,False,0,1,0,1,False,True,False,True,98.70390714293654,-62.22163158829456,Kelly Services Inc
BIT,13.205,241026.0,318.274833,0.0,0.0,0,0.0,0.0,86.523917268774,1,86.523917268774,False,0,0,0,1,False,False,False,True,-35.149902215770496,-31.837266863153413,BLACKROCK MULTI-SECTOR INCOME TRUST
CORB,29.98,121882.0,365.40223599999996,0.0,186.48074545826276,2,186.48074545826276,0.0,0.0,0,0.0,False,0,0,0,1,False,False,False,True,-35.36254980079286,-69.83246745665882,AB Core Bond ETF
FSCO,6.1522,1175769.0,723.35660418,0.0,0.0,0,0.0,0.0,101.19636757595515,1,101.19636757595515,False,0,0,0,1,False,False,False,True,-37.094281684475476,-87.9626875319273,FS Credit Opportunities Corp.
VCIG,0.5791,1931525.0,111.85461275,85.25611943158614,85.25611943158614,4,85.25611943158614,193.22780445968618,193.22780445968618,3,193.22780445968618,True,0,0,1,0,False,False,True,False,-210.84559628052807,-72.51898053591786,VCI Global Limited Ordinary Share
TU,12.735,5437367.0,6924.486874499999,74.80069870417299,80.83630642600299,3,74.80069870417299,95.93548266854553,95.93548266854553,4,95.93548266854553,True,1,1,0,1,True,True,False,True,-101.4949199778132,-115.58849121417921,Telus Corporation
GES,16.775,100774.0,169.048385,0.0,51.558292694470026,1,51.558292694470026,0.0,0.0,0,0.0,False,0,0,1,0,False,False,True,False,-96.54177855447972,-76.29839471199476,"Guess, Inc."
PDYN,4.52,652106.0,294.75191199999995,64.92955159262405,64.92955159262405,3,64.92955159262405,166.89273055995562,166.89273055995562,3,166.89273055995562,True,0,1,1,0,False,True,True,False,-175.50978277738344,-108.78057757080775,Palladyne AI Corp. Common Stock
ARCX,40.5,24912.0,100.8936,0.0,0.0,0,0.0,0.0,179.09288621640113,1,179.09288621640113,False,0,0,0,1,False,False,False,True,-59.18209814583042,-72.76553834514345,Tradr 2X Long ACHR Daily ETF
EQNR,22.375,2958364.0,6619.33945,50.700607122423214,50.700607122423214,1,50.700607122423214,117.21744756492205,117.21744756492205,1,117.21744756492205,True,0,0,1,2,False,False,True,True,-170.89714970404512,-121.01302948354841,"Equinor ASA American Depositary Shares (Each Representing One Ordinary Share, nominal value NOK 2.50 per share)"
AFCG,3.195,325855.0,104.11067249999999,0.0,0.0,0,0.0,0.0,110.98020969733916,1,110.98020969733916,False,0,0,0,1,False,False,False,True,109.17642752562284,-20.65675876834767,Advanced Flower Capital Inc. Common Stock
GLIBA,33.51,86431.0,289.630281,0.0,0.0,0,0.0,0.0,200.0,1,200.0,False,0,0,0,1,False,False,False,True,106.43025374394537,-64.94051079331864,"GCI Liberty, Inc. Series A GCI Group Common Stock"
SPOK,13.47,82188.0,110.70723600000001,0.0,0.0,0,0.0,0.0,133.0255447185227,1,133.0255447185227,False,0,1,0,1,False,True,False,True,166.20120548933693,-59.44427099594123,"Spok Holdings, Inc"
SPLB,22.675,2286809.0,5185.339407500001,0.0,74.36658754641508,1,74.36658754641508,0.0,0.0,0,0.0,False,0,0,1,1,False,False,True,True,-116.77885596060226,-123.52964600008096,State Street SPDR Portfolio Long Term Corporate Bond ETF
SMTI,24.935,52669.0,131.3301515,0.0,0.0,0,0.0,0.0,88.12030894342492,1,88.12030894342492,False,0,1,0,1,False,True,False,True,99.26607828208672,-31.538350687038953,Sanara MedTech Inc. Common Stock
VIVK,0.059849,20015370.0,119.789987913,173.08765254829845,200.0,3,173.08765254829845,77.23753055044861,77.23753055044861,0,0.0,False,1,0,0,0,True,False,False,False,-112.84644036297595,-99.70237436592892,"Vivakor, Inc. Common Stock"
AVGG,27.23,400420.0,1090.34366,125.03216120086827,125.03216120086827,2,125.03216120086827,0.0,0.0,0,0.0,False,1,0,1,1,True,False,True,True,-178.2590594681437,-133.28872429198088,Leverage Shares 2X Long AVGO Daily ETF
TSLZ,10.2599,15775685.0,16185.69505315,77.6964063183094,77.6964063183094,3,77.6964063183094,200.0,200.0,2,200.0,True,0,0,1,1,False,False,True,True,-172.56610053148913,-182.88560560522365,T-Rex 2X Inverse Tesla Daily Target ETF
HTO,49.38,208317.0,1028.6693460000001,0.0,0.0,0,0.0,0.0,190.65015243756477,1,190.65015243756477,False,0,0,0,1,False,False,False,True,136.92239866091245,76.06415598449891,H2O America Common Stock
RNW,5.21,4308851.0,2244.911371,74.788879443759,74.788879443759,2,74.788879443759,119.95707370585741,119.95707370585741,2,119.95707370585741,True,0,0,1,1,False,False,True,True,-244.95006583097359,-291.7392971466242,ReNew Energy Global plc Class A Ordinary Shares
