factor,ic_mean,ic_std,ir,hit_rate,abs_ic,sample_days,score
RESI20,-0.05146119606904584,0.5132245787434532,-1.5917420864992056,0.46261682242990654,0.44246984835466713,214,0.6436305732484077
CNTP60,0.09415117453573983,0.48124038017969417,3.1057318179308786,0.5841121495327103,0.4154519617583612,214,0.643312101910828
SUMN60,-0.06317657007657115,0.4996814401710877,-2.007072662751947,0.4672897196261682,0.432006619630698,214,0.6420382165605095
VSUMD5,0.024095813978934073,0.5286298452586023,0.7235860630768565,0.514018691588785,0.4556052235607396,214,0.6410828025477707
VSUMP5,0.02409581332690311,0.5286298451515147,0.7235860436432516,0.514018691588785,0.45560522417159677,214,0.639171974522293
RSQR10,0.10477843030510799,0.4821156700831339,3.4500144245868687,0.6121495327102804,0.41306953356297876,214,0.6337579617834395
IMAX60,0.057979661964094244,0.4969060746050484,1.85225870034102,0.5467289719626168,0.4244344257173873,214,0.6235668789808917
MAX5,-0.016439462609512602,0.5553696994000549,-0.4699002822728825,0.48130841121495327,0.4863832785504454,214,0.6222929936305732
QTLD10,0.04398573775575381,0.5094268004218447,1.3706619664186628,0.5233644859813084,0.43252294678207726,214,0.6181528662420382
VSUMD10,0.034974647407792187,0.5161432963015001,1.0756805704491994,0.5373831775700935,0.4383987962351678,214,0.617515923566879
BETA30,0.039291028373617934,0.503391639477539,1.2390466787307148,0.5373831775700935,0.43334006599768515,214,0.6168789808917198
BETA5,-0.016342130705948144,0.5441856377941422,-0.4767183557006027,0.48130841121495327,0.4709057476271225,214,0.6159235668789809
KMID2,-0.034299779922057724,0.5266139469832246,-1.0339493082309341,0.4672897196261682,0.45096508795268103,214,0.6146496815286625
KSFT2,-0.028141181372080465,0.536591900663737,-0.8325272977619506,0.4485981308411215,0.45864443255822795,214,0.6136942675159236
ROC10,0.034441224436544716,0.514198527647646,1.063280929152328,0.5,0.4441414066900812,214,0.6124203821656051
VSUMP10,0.03497463984892599,0.5161432980753403,1.0756803342718302,0.5373831775700935,0.43839879526046144,214,0.609235668789809
VMA10,-0.02901040767144323,0.5269605540501627,-0.8739286864033403,0.5,0.44868541188702293,214,0.6079617834394905
VSUMN5,-0.024095813011689216,0.5286298375119709,-0.7235860446344969,0.48598130841121495,0.4556052144195014,214,0.6038216560509554
VSTD10,-0.029737808895346777,0.5261802038087039,-0.897169976789809,0.48130841121495327,0.44940916134459613,214,0.5942675159235669
CORD10,-0.06313697550068909,0.4934072059178486,-2.031320990501469,0.4532710280373832,0.42550384380497697,214,0.5920382165605097
MA10,0.03627842815461766,0.5199783112647995,1.107550412477444,0.48598130841121495,0.4434209477046108,214,0.5898089171974522
MIN20,0.06097396687559805,0.4869350030062444,1.9878047600515631,0.5560747663551402,0.4169670834372087,214,0.589171974522293
ROC60,-0.060618361721277464,0.5068507031438156,-1.898560372952471,0.46261682242990654,0.428712533295111,214,0.5843949044585989
BETA10,-0.008863457474461425,0.5371871202134081,-0.26192553787557743,0.5,0.4683323101736022,214,0.5818471337579618
KLOW2,-0.04236273514212585,0.5128319149362283,-1.3113216098085356,0.4766355140186916,0.4370588064532276,214,0.5802547770700637
RESI30,-0.06676130899801654,0.5003080498549815,-2.118300765231613,0.46261682242990654,0.4229389571208655,214,0.5780254777070065
RESI60,-0.05798500063840212,0.5006135195605214,-1.8387105277837386,0.46261682242990654,0.42633925846704646,214,0.5761146496815287
MAX30,-0.06354959275030073,0.4993743951007984,-2.020164669870077,0.4392523364485981,0.42482130880106284,214,0.5713375796178344
BETA60,0.03902703629530345,0.5195405711944682,1.192467016093128,0.5186915887850467,0.43179458367181234,214,0.5691082802547771
WVMA30,-0.047505156492756086,0.5124794537444017,-1.471514564980676,0.4485981308411215,0.43159316303186224,214,0.552547770700637
VMA5,-0.008724288580412194,0.5402406135515122,-0.25635575005725286,0.48598130841121495,0.4654152429900908,214,0.5503184713375796
WVMA5,-0.015422149301151846,0.5255024046138433,-0.4658761372893038,0.514018691588785,0.4483275536838152,214,0.5461783439490446
CORD20,-0.06085174965966033,0.5002177262846436,-1.9311422364629203,0.4485981308411215,0.4241139600715837,214,0.5429936305732486
HIGH0,-0.0028807159394184973,0.5399086774351808,-0.08469941260875005,0.5046728971962616,0.46629926977449876,214,0.5420382165605095
CORR5,-0.0319801770651555,0.5134826589249543,-0.988679098632372,0.48598130841121495,0.4372844865339975,214,0.5382165605095541
VSUMN10,-0.034974643078223726,0.5161432912674194,-1.0756804477803459,0.46261682242990654,0.43839878876750044,214,0.5378980891719746
VMA30,-0.018848059723262145,0.5229075338921533,-0.572192314989243,0.45794392523364486,0.45158637940812335,214,0.528343949044586
CORR20,-0.024976533995241933,0.5162914966868899,-0.7679580003290648,0.5093457943925234,0.4362560828528871,214,0.5226114649681529
IMAX30,0.06631468825577583,0.4609323431365328,2.2838775712936394,0.5727699530516432,0.39626295179533755,213,0.5178343949044586
CNTP30,0.06137729591095144,0.4668574264891117,2.0870062496022403,0.5514018691588785,0.3980920479703758,214,0.5079617834394905
IMAX20,0.06052911033484353,0.4621378289188777,2.0791845592986102,0.5377358490566038,0.3996569259726001,212,0.5057324840764331
CNTN60,-0.06929482979837633,0.482127002823554,-2.281600728214948,0.4485981308411215,0.41160806530219146,214,0.5041401273885351
CORR60,0.0379473048282749,0.49442463060563285,1.218375363433589,0.5327102803738317,0.4201875490174356,214,0.5038216560509554
VMA60,0.0012204769445657963,0.5212368578572225,0.037170185809387704,0.5093457943925234,0.45712823508396055,214,0.5035031847133759
ROC30,-0.031486791582179444,0.5070511723030808,-0.9857729317305352,0.4672897196261682,0.4328639239768059,214,0.49936305732484076
RSQR60,0.005530343498616819,0.5265847507207462,0.16671861699841498,0.4953271028037383,0.4535924571014647,214,0.4984076433121019
QTLU60,-0.04954952804205602,0.4968908398954134,-1.5829922983586664,0.4672897196261682,0.4200906004495529,214,0.4961783439490446
WVMA60,-0.06911421009200219,0.47928901692232817,-2.289128340202402,0.42990654205607476,0.4106466171062758,214,0.4926751592356688
RSQR20,0.06519263293257932,0.4677066184763098,2.212713960923274,0.5327102803738317,0.3952117081258201,214,0.49171974522292994
VSUMN60,0.010775958164690602,0.517637418375428,0.33046883123348086,0.5046728971962616,0.4441172529201735,214,0.4834394904458599
VSUMD60,-0.010775970044100185,0.5176374194670762,-0.33046919484518683,0.4953271028037383,0.44411728128657096,214,0.48312101910828026
MIN60,0.03651175468730136,0.4991998399219263,1.1610703582954411,0.5233644859813084,0.419813858593682,214,0.47802547770700643
VSUMP60,-0.010775958972117767,0.5176373982030767,-0.330468868873424,0.4953271028037383,0.44411726163196946,214,0.47738853503184714
MA60,-0.029971171208448603,0.5106357885448216,-0.931735698489146,0.49065420560747663,0.4293044050165723,214,0.47611464968152867
QTLD20,0.04158383111209021,0.47988741112645095,1.3755786019764205,0.5327102803738317,0.4117733782537625,214,0.47388535031847134
ROC5,0.004096892062901425,0.5291346416540754,0.12291039021177352,0.514018691588785,0.44682174763105487,214,0.4671974522292993
CORR30,-0.006972706490588956,0.5146685663825159,-0.21506711554752167,0.4953271028037383,0.444516083294009,214,0.45891719745222925
IMXD30,0.053576650220161316,0.4632163819065882,1.836081340374867,0.5700934579439252,0.3955585680105389,214,0.4576433121019109
CNTN5,0.026150188668703264,0.49499445427928046,0.8386384375422377,0.5235849056603774,0.42219960736881773,212,0.4394904458598726
QTLD30,0.014583720005494913,0.5087994839020156,0.45501103140467497,0.4953271028037383,0.43598753257944184,214,0.43662420382165607
CNTN10,0.03360942305285227,0.4900222818649843,1.0887934495685943,0.5380952380952381,0.4121905606695396,210,0.43121019108280256
IMIN60,-0.00992075448426209,0.5072761283014272,-0.3104563497364852,0.49056603773584906,0.438135771395603,212,0.42452229299363053
IMIN20,0.03822701279967761,0.47599924597517584,1.2748654972210334,0.5242718446601942,0.4094878392853486,206,0.42420382165605097
CNTD30,0.05012121520669729,0.46152353580373334,1.7239632723952254,0.5420560747663551,0.3879345079745279,214,0.4238853503184714
